sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC
SAMN15933590	4545500	61	74516.39	1817191	208	0	0	386033	3	224409	6	150644	10	98.54	0.09	100.0	Neural Network (Specific Model)	11.0	0.876	386033.0	311.85456251466104	4545500.0	0.52	4263.0		Y	N	SRR12541275	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	99.9704	99.9699	98.51	70.0	NA-NA	HIGH	NA-NA	70.0	68.734	13318/21226	98.51	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN15933590	4545500	61	74516.39	1817191	208	0	0	386033	3	224409	6	150644	10	98.54	0.09	100.0	Neural Network (Specific Model)	11.0	0.876	386033.0	311.85456251466104	4545500.0	0.52	4263.0		Y	N	SRR12541275	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	0.0296	0.0301	99.62	0.021	97.35-100.77	0.021	0.01-0.04	1.0	0.574	687/21223	89.52	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Salmonella enterica	T	Pass
SAMN16729398	4949233	84	58919.44	622274	220	0	0	241155	6	139247	11	79377	21	98.82	0.06	100.0	Neural Network (Specific Model)	11.0	0.877	241155.0	307.24989402289106	4949233.0	0.52	4718.0		Y	N	SRR13021224	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	99.9124	99.9127	99.91	38.0	NA-NA	HIGH	NA-NA	38.0	38.122	20646/21226	99.91	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN16729398	4949233	84	58919.44	622274	220	0	0	241155	6	139247	11	79377	21	98.82	0.06	100.0	Neural Network (Specific Model)	11.0	0.877	241155.0	307.24989402289106	4949233.0	0.52	4718.0		Y	N	SRR13021224	gtdb_genomes_reps_r214/database/GCF/008/692/785/GCF_008692785.1_genomic.fna.gz	0.0876	0.0873	95.72	0.033	92.77-95.95	0.033	0.03-0.07	1.0	0.869	214/21232	86.22	NZ_VXJV01000001.1 Salmonella enterica subsp. diarizonae strain CCUG 30040T contig_0000001, whole genome shotgun sequence	Salmonella diarizonae	Salmonella enterica	T	Pass
SAMN30861670	4413554	120	36779.62	231343	218	0	0	105125	14	80603	24	36808	38	99.11	0.28	100.0	Neural Network (Specific Model)	11.0	0.902	105125.0	320.74957821161723	4413554.0	0.66	4149.0		Y	N	SRR21595804	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	100.0	100.0	99.94	74.0	NA-NA	HIGH	NA-NA	74.0	73.036	18389/18742	99.94	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMN09865841	2281524	83	27488.24	198991	216	0	0	86754	9	54071	16	23190	28	99.08	0.17	100.0	Neural Network (Specific Model)	11.0	0.88	86754.0	292.2382404181185	2281524.0	0.45	2296.0		Y	N	SRR7726145	gtdb_genomes_reps_r214/database/GCF/900/453/105/GCF_900453105.1_genomic.fna.gz	100.0	100.0	97.89	15.0	NA-NA	HIGH	NA-NA	15.0	15.581	5002/9691	97.89	NZ_UGPW01000003.1 Moraxella ovis strain NCTC11227, whole genome shotgun sequence	Moraxella ovis	Moraxella ovis	T	Pass
SAMN29407310	2201833	184	11966.48	184949	201	0	0	50104	13	28994	24	11643	46	99.62	0.03	99.99	Neural Network (Specific Model)	11.0	0.817	50104.0	283.6551724137931	2201833.0	0.51	2117.0		Y	N	SRR19894019	gtdb_genomes_reps_r214/database/GCF/900/638/555/GCF_900638555.1_genomic.fna.gz	100.0	100.0	98.43	44.0	NA-NA	HIGH	NA-NA	44.0	43.506	5434/8878	98.43	NZ_LR134525.1 Neisseria meningitidis strain NCTC10025 chromosome 1, complete sequence	Neisseria meningitidis	Neisseria meningitidis	T	Pass
SAMEA7340371	2801703	112	25015.21	198635	200	0	0	53088	16	35471	30	17462	53	100.0	0.38	100.0	Neural Network (Specific Model)	11.0	0.846	53088.0	294.92098397316437	2801703.0	0.33	2683.0		Y	N	ERR4626403	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	100.0	100.0	98.32	80.0	NA-NA	HIGH	NA-NA	80.0	88.784	7023/11892	98.32	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome	Staphylococcus aureus	Staphylococcus aureus	T	Pass
SAMN19668141	4743999	119	39865.54	310978	226	0	0	97005	16	60697	28	25083	52	99.09	0.04	100.0	Neural Network (Specific Model)	11.0	0.871	97005.0	308.11336755188574	4743999.0	0.52	4481.0		Y	N	SRR14788339	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.03	57.0	NA-NA	HIGH	NA-NA	57.0	54.568	15714/21226	99.03	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN18118116	4407728	300	14692.43	173959	205	0	0	57580	25	29810	46	14312	86	99.69	0.56	99.99	Neural Network (Specific Model)	11.0	0.902	57580.0	305.1025699862322	4407728.0	0.66	4358.0		Y	N	SRR13837575	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	98.2211	97.8302	99.98	15.0	NA-NA	HIGH	NA-NA	15.0	14.986	18603/18742	99.98	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	unknown	F	Pass
SAMN18118116	4407728	300	14692.43	173959	205	0	0	57580	25	29810	46	14312	86	99.69	0.56	99.99	Neural Network (Specific Model)	11.0	0.902	57580.0	305.1025699862322	4407728.0	0.66	4358.0		Y	N	SRR13837575	gtdb_genomes_reps_r214/database/GCF/000/277/125/GCF_000277125.1_genomic.fna.gz	1.7789	2.1698	99.68	0.272	99.54-99.93	0.272	0.25-0.28	1.0	1.138	5106/23206	95.23	NC_016946.1 Mycobacterium intracellulare ATCC 13950, complete sequence	Mycobacterium intracellulare	unknown	F	Pass
SAMN22889931	4881187	100	48811.87	1180733	213	0	0	519479	4	386421	6	87809	11	100.0	0.02	100.0	Neural Network (Specific Model)	11.0	0.877	519479.0	307.44148020654046	4881187.0	0.52	4648.0		Y	N	SRR16771703	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.06	43.0	NA-NA	HIGH	NA-NA	43.0	42.588	15824/21226	99.06	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN13323831	2166850	159	13627.99	207829	206	0	0	53555	12	39232	21	17104	38	98.46	0.08	99.99	Neural Network (Specific Model)	11.0	0.834	53555.0	272.88602442333786	2166850.0	0.52	2211.0		Y	N	SRR16643931	gtdb_genomes_reps_r214/database/GCF/003/315/235/GCF_003315235.1_genomic.fna.gz	100.0	100.0	99.73	34.0	NA-NA	HIGH	NA-NA	34.0	38.171	8392/9129	99.73	NZ_QNRU01000001.1 Neisseria gonorrhoeae strain DSM 9188 Ga0244522_101, whole genome shotgun sequence	Neisseria gonorrhoeae	Neisseria gonorrhoeae	T	Pass
SAMN28093498	1787547	77	23214.9	326292	211	0	0	114555	5	89566	9	60380	13	100.0	0.05	99.99	Neural Network (Specific Model)	11.0	0.936	114555.0	289.7871569135163	1787547.0	0.3	1931.0		Y	N	SRR19086698	gtdb_genomes_reps_r214/database/GCF/001/457/695/GCF_001457695.1_genomic.fna.gz	100.0	100.0	98.12	33.0	NA-NA	HIGH	NA-NA	33.0	32.903	4119/7417	98.12	NZ_LN831025.1 Campylobacter jejuni strain NCTC11351 chromosome 1, complete sequence	Campylobacter_D jejuni	Campylobacter_D jejuni	T	Pass
SAMEA111527788	2962608	83	35694.07	254840	207	0	0	77844	12	60317	21	33761	34	99.03	0.65	99.97	Neural Network (Specific Model)	11.0	0.898	77844.0	299.372218476062	2962608.0	0.38	2966.0		Y	N	ERR10439818	gtdb_genomes_reps_r214/database/GCF/000/307/025/GCF_000307025.1_genomic.fna.gz	100.0	100.0	99.66	36.0	NA-NA	HIGH	NA-NA	36.0	38.776	11269/12543	99.66	NC_018584.1 Listeria monocytogenes ATCC 19117, complete sequence	Listeria monocytogenes_B	Listeria monocytogenes_B	T	Pass
SAMEA5611434	4880860	133	36698.2	327312	202	0	0	129317	13	90986	22	35292	38	100.0	0.2	100.0	Neural Network (Specific Model)	11.0	0.878	129317.0	309.7502705042199	4880860.0	0.51	4621.0		Y	N	ERR3329236	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.49	77.0	NA-NA	HIGH	NA-NA	77.0	76.659	9644/21223	97.49	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMEA7340318	2840002	144	19722.24	325410	200	0	0	84023	11	58988	19	27763	32	100.0	3.75	100.0	Neural Network (Specific Model)	11.0	0.84	84023.0	294.93893412287196	2840002.0	0.33	2702.0		Y	N	ERR4624840	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	100.0	100.0	98.24	42.0	NA-NA	HIGH	NA-NA	42.0	42.729	6861/11892	98.24	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome	Staphylococcus aureus	Staphylococcus aureus	T	Pass
SAMEA104364905	3006802	220	13667.28	138312	203	0	0	50986	20	25727	37	11811	73	99.47	1.36	100.0	Neural Network (Specific Model)	11.0	0.845	50986.0	289.3843792633015	3006802.0	0.38	2932.0		Y	N	ERR3061798	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	0.1373	0.2732	99.2	0.078	98.38-99.89	0.078	0.06-0.10	1.0	1.041	1275/21226	91.33	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Enterococcus_B faecium	T	Pass
SAMEA104364905	3006802	220	13667.28	138312	203	0	0	50986	20	25727	37	11811	73	99.47	1.36	100.0	Neural Network (Specific Model)	11.0	0.845	50986.0	289.3843792633015	3006802.0	0.38	2932.0		Y	N	ERR3061798	gtdb_genomes_reps_r214/database/GCF/001/544/255/GCF_001544255.1_genomic.fna.gz	99.8627	99.7268	99.61	57.0	NA-NA	HIGH	NA-NA	57.0	58.203	9451/10679	99.61	NZ_BCQD01000001.1 Enterococcus faecium NBRC 100486, whole genome shotgun sequence	Enterococcus_B faecium	Enterococcus_B faecium	T	Pass
SAMEA5082019	2070370	62	33393.06	359042	208	0	0	128659	6	76144	11	33543	18	100.0	0.17	100.0	Neural Network (Specific Model)	11.0	0.859	128659.0	283.76731963688485	2070370.0	0.4	2093.0		Y	N	ERR3984097	gtdb_genomes_reps_r214/database/GCF/001/457/635/GCF_001457635.1_genomic.fna.gz	100.0	100.0	99.0	77.0	NA-NA	HIGH	NA-NA	77.0	78.214	6284/8578	99.0	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence	Streptococcus pneumoniae	Streptococcus pneumoniae	T	Pass
SAMN22513005	4771611	57	83712.47	439380	223	0	0	217411	8	165093	13	84631	20	100.0	0.08	100.0	Neural Network (Specific Model)	11.0	0.87	217411.0	306.6220698805838	4771611.0	0.52	4522.0		Y	N	SRR16540138	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.87	48.0	NA-NA	HIGH	NA-NA	48.0	47.857	14931/21226	98.87	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA7773843	5539403	224	24729.48	559146	204	0	0	305082	8	188395	13	37991	25	98.85	0.25	100.0	Neural Network (Specific Model)	11.0	0.875	305082.0	306.9926024279211	5539403.0	0.57	5272.0		Y	N	ERR5056547	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	100.0	100.0	99.0	39.0	NA-NA	HIGH	NA-NA	39.0	39.257	17468/23841	99.0	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMN18620809	3872668	300	12908.89	73535	206	0	0	22532	59	13772	103	7530	178	99.23	0.9	99.96	Neural Network (Specific Model)	11.0	0.899	22532.0	295.83672431332656	3872668.0	0.68	3932.0		Y	N	SRR14288319	gtdb_genomes_reps_r214/database/GCF/000/306/945/GCF_000306945.1_genomic.fna.gz	100.0	100.0	99.79	45.0	NA-NA	HIGH	NA-NA	45.0	53.282	15115/16129	99.79	NC_018518.1 Bordetella pertussis 18323, complete sequence	Bordetella pertussis	Bordetella pertussis	T	Pass
SAMN28093616	4591709	474	9687.15	88231	200	0	0	22847	61	13903	113	5173	216	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.867	22847.0	288.04939341421147	4591709.0	0.51	4616.0		Y	N	SRR19086857	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.06	37.0	NA-NA	HIGH	NA-NA	37.0	38.647	8410/21223	97.06	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN12797798	1663368	27	61606.22	283383	206	0	0	163676	4	106119	7	56354	10	99.95	0.06	99.97	Neural Network (Specific Model)	11.0	0.937	163676.0	305.80058651026394	1663368.0	0.31	1705.0		Y	N	SRR10153949	gtdb_genomes_reps_r214/database/GCF/000/254/135/GCF_000254135.1_genomic.fna.gz	100.0	100.0	98.88	68.0	NA-NA	HIGH	NA-NA	68.0	92.865	5561/7880	98.88	NZ_AINS01000187.1 Campylobacter coli LMG 9860 n_392_l_219_c_87.132423, whole genome shotgun sequence	Campylobacter_D coli	Campylobacter_D coli	T	Pass
SAMEA11350822	5396170	90	59957.44	440266	202	0	0	183151	10	127056	17	72832	28	98.93	0.24	100.0	Neural Network (Specific Model)	11.0	0.879	183151.0	316.99759903961586	5396170.0	0.57	4998.0		Y	N	ERR7472204	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	100.0	100.0	99.03	44.0	NA-NA	HIGH	NA-NA	44.0	46.117	17646/23841	99.03	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMEA104469149	2978735	134	22229.37	300585	200	0	0	84058	11	56730	19	22516	36	97.07	0.17	99.82	Neural Network (Specific Model)	11.0	0.834	84058.0	299.37955940772844	2978735.0	0.28	2769.0		Y	N	ERR3192619	gtdb_genomes_reps_r214/database/GCF/000/013/285/GCF_000013285.1_genomic.fna.gz	100.0	100.0	98.64	98.0	NA-NA	HIGH	NA-NA	98.0	94.67	9001/13779	98.64	NC_008261.1 Clostridium perfringens ATCC 13124, complete sequence	Sarcina perfringens	Sarcina perfringens	T	Pass
SAMN19068279	4919227	84	58562.23	447193	206	0	0	351009	7	148426	11	43980	21	100.0	0.06	100.0	Neural Network (Specific Model)	11.0	0.881	351009.0	311.65604135257377	4919227.0	0.51	4643.0		Y	N	SRR14483462	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.34	58.0	NA-NA	HIGH	NA-NA	58.0	57.942	9208/21223	97.34	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN10346770	4002072	44	90956.18	769015	219	0	0	553539	3	294489	6	122524	10	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.887	553539.0	296.87681522283424	4002072.0	0.44	3994.0		Y	N	SRR9141479	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	0.0089	0.0105	98.35	0.028	96.50-100.23	0.028	0.02-0.05	1.0	1.014	360/21226	87.68	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Bacillus spizizenii	T	Pass
SAMN10346770	4002072	44	90956.18	769015	219	0	0	553539	3	294489	6	122524	10	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.887	553539.0	296.87681522283424	4002072.0	0.44	3994.0		Y	N	SRR9141479	gtdb_genomes_reps_r214/database/GCF/000/227/465/GCF_000227465.1_genomic.fna.gz	99.844	99.8872	97.61	316.0	NA-NA	HIGH	NA-NA	316.0	288.859	8329/17634	97.61	NC_016047.1 Bacillus subtilis subsp. spizizenii TU-B-10, complete sequence	Bacillus spizizenii	Bacillus spizizenii	T	Pass
SAMN10346770	4002072	44	90956.18	769015	219	0	0	553539	3	294489	6	122524	10	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.887	553539.0	296.87681522283424	4002072.0	0.44	3994.0		Y	N	SRR9141479	gtdb_genomes_reps_r214/database/GCF/000/307/025/GCF_000307025.1_genomic.fna.gz	0.1062	0.0745	99.62	0.336	99.45-99.91	0.336	0.31-0.35	1.0	1.175	3249/12543	95.74	NC_018584.1 Listeria monocytogenes ATCC 19117, complete sequence	Listeria monocytogenes_B	Bacillus spizizenii	T	Pass
SAMN10346770	4002072	44	90956.18	769015	219	0	0	553539	3	294489	6	122524	10	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.887	553539.0	296.87681522283424	4002072.0	0.44	3994.0		Y	N	SRR9141479	gtdb_genomes_reps_r214/database/GCF/000/392/875/GCF_000392875.1_genomic.fna.gz	0.0289	0.0198	96.54	0.091	95.38-97.99	0.091	0.06-0.13	1.0	1.049	367/12252	89.3	NZ_KB944588.1 Enterococcus faecalis ATCC 19433 acAqW-supercont1.1, whole genome shotgun sequence	Enterococcus faecalis	Bacillus spizizenii	T	Pass
SAMN10346770	4002072	44	90956.18	769015	219	0	0	553539	3	294489	6	122524	10	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.887	553539.0	296.87681522283424	4002072.0	0.44	3994.0		Y	N	SRR9141479	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	0.012	0.008	99.8	0.038	97.95-101.95	0.038	0.02-0.06	1.0	1.016	429/11892	89.84	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome	Staphylococcus aureus	Bacillus spizizenii	T	Pass
SAMEA4602569	5714474	77	74213.95	935168	201	0	0	364298	6	314014	9	99338	15	99.04	0.37	100.0	Neural Network (Specific Model)	11.0	0.881	364298.0	314.79194756554307	5714474.0	0.57	5340.0		Y	N	ERR3371916	gtdb_genomes_reps_r214/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	99.8205	99.8213	99.15	81.0	NA-NA	HIGH	NA-NA	81.0	78.37	18277/23841	99.15	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	Klebsiella pneumoniae	Klebsiella pneumoniae	T	Pass
SAMEA4602569	5714474	77	74213.95	935168	201	0	0	364298	6	314014	9	99338	15	99.04	0.37	100.0	Neural Network (Specific Model)	11.0	0.881	364298.0	314.79194756554307	5714474.0	0.57	5340.0		Y	N	ERR3371916	gtdb_genomes_reps_r214/database/GCF/000/828/055/GCF_000828055.2_genomic.fna.gz	0.1795	0.1787	97.82	0.146	97.24-98.26	0.146	0.12-0.17	1.0	0.708	2442/23850	92.91	NZ_CP010523.2 Klebsiella variicola strain DSM 15968 chromosome, complete genome	Klebsiella variicola	Klebsiella pneumoniae	T	Pass
SAMEA112471165	2444972	44	55567.55	363011	207	0	0	190877	5	73205	9	36368	18	100.0	0.78	100.0	Neural Network (Specific Model)	11.0	0.896	190877.0	311.32426689332766	2444972.0	0.53	2353.0		Y	N	ERR10841100	gtdb_genomes_reps_r214/database/GCF/001/457/455/GCF_001457455.1_genomic.fna.gz	100.0	100.0	98.53	286.0	NA-NA	HIGH	NA-NA	286.0	282.178	6642/10496	98.53	NZ_LN831026.1 Corynebacterium diphtheriae strain NCTC11397 chromosome 1, complete sequence	Corynebacterium diphtheriae	Corynebacterium diphtheriae	T	Pass
