sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMN42181512	3726572	1100	3387.79	167114	244	0	0	6683	139	3791	288	1496	593	SAMN42181512	Escherichia coli
SAMEA115097172	915748	385	2378.57	298601	375	0	0	6792	14	2502	58	714	207	SAMEA115097172	Escherichia coli
SAMEA9850668	6583878	4067	1618.85	62522	200	0	0	4932	317	2024	733	570	2027	SAMEA9850668	Escherichia coli
SAMEA6424981	6950395	5568	1248.27	85946	200	0	0	3744	402	1541	987	394	2772	SAMEA6424981	Escherichia coli
SAMN26797088	6052187	2001	3024.58	205113	200	0	0	79805	24	41001	47	1608	187	SAMN26797088	Escherichia coli
SAMN07677126	6570844	937	7012.64	158996	203	0	0	26973	71	14285	136	3984	303	SAMN07677126	Escherichia coli
SAMN34372484	4587900	3134	1463.91	31297	200	0	0	6266	208	2756	429	490	1164	SAMN34372484	Escherichia coli
SAMN31077343	5863687	2430	2413.04	68488	200	0	0	6869	233	3700	467	985	1051	SAMN31077343	Escherichia coli
SAMN17164281	9986439	5070	1969.71	108386	201	0	0	10424	256	4583	543	558	2162	SAMN17164281	Escherichia coli
SAMN12600012	8437979	9378	899.76	40746	200	0	0	1529	1207	756	2796	327	6208	SAMN12600012	Escherichia coli
SAMEA1317790	6567526	4662	1408.74	57064	200	0	0	3931	385	1661	903	402	2586	SAMEA1317790	Escherichia coli
SAMN09763748	2411436	537	4490.57	223557	308	0	0	6047	107	4009	206	2120	366	SAMN09763748	Escherichia coli
SAMN20429931	3711364	543	6834.92	66268	375	0	0	10919	100	6730	186	3266	343	SAMN20429931	Escherichia coli
SAMEA5786667	6508490	2974	2188.46	73695	200	0	0	7812	214	3337	462	643	1392	SAMEA5786667	Escherichia coli
SAMEA10301137	5629659	498	11304.54	521665	200	0	0	94235	15	64362	29	19735	58	SAMEA10301137	Escherichia coli
SAMN14491165	7937753	10602	748.7	34992	200	0	0	1149	1612	607	3533	300	7344	SAMN14491165	Escherichia coli
SAMEA5855085	6210257	3198	1941.92	55551	200	0	0	6827	213	3143	481	748	1238	SAMEA5855085	Escherichia coli
SAMN35442778	5481514	373	14695.75	111988	202	0	0	39018	44	23798	79	10336	147	SAMN35442778	Escherichia coli
SAMEA3538730	6174362	677	9120.18	140990	203	0	0	32576	59	18296	106	4818	234	SAMEA3538730	Escherichia coli
SAMN03975951	1015443	731	1389.11	40201	200	0	0	7093	38	3247	81	229	266	SAMN03975951	Escherichia coli
SAMEA1903777	6071205	2927	2074.21	40915	201	0	0	8558	196	3821	403	585	1191	SAMEA1903777	Escherichia coli
SAMD00148558	6071992	7305	831.21	5914	200	0	0	1120	1649	706	3014	389	5305	SAMD00148558	Escherichia coli
SAMN08797444	4619523	1039	4446.12	52259	295	0	0	7294	177	4472	340	2067	638	SAMN08797444	Escherichia coli
SAMEA7530930	10226598	2735	3739.16	141120	201	0	0	39859	77	22115	145	3153	337	SAMEA7530930	Escherichia coli
SAMN10840029	1218419	589	2068.62	20360	226	0	0	2468	127	1637	249	995	438	SAMN10840029	Escherichia coli
SAMEA5075919	4640109	2453	1891.61	32960	206	0	0	3069	382	1734	783	751	1595	SAMEA5075919	Escherichia coli
SAMN08159356	113986	7	16283.71	106959	235	0	0	106959	1	106959	1	106959	1	SAMN08159356	Escherichia coli
SAMN12500168	397405	229	1735.39	15102	220	0	0	2063	51	1339	99	850	175	SAMN12500168	Escherichia coli
SAMN04393280	5405176	777	6956.47	94521	200	0	0	29255	59	15794	110	7112	203	SAMN04393280	Escherichia coli
SAMEA8701268	11770947	11311	1040.66	65249	200	0	0	4990	437	951	1525	295	6333	SAMEA8701268	Escherichia coli
SAMN25050128	5470262	2340	2337.72	47395	204	0	0	6293	240	3326	477	877	1082	SAMN25050128	Escherichia coli
SAMN14532062	8202458	6213	1320.21	53332	200	0	0	3586	531	1620	1215	390	3295	SAMN14532062	Escherichia coli
SAMEA9477536	7484031	7537	992.97	57054	202	0	0	2101	795	1061	1803	305	4369	SAMEA9477536	Escherichia coli
SAMN12500165	5723645	1703	3360.92	66464	201	0	0	11338	130	6752	258	1916	550	SAMN12500165	Escherichia coli
SAMN09405645	7364308	4508	1633.61	67208	200	0	0	4930	375	2180	822	459	2253	SAMN09405645	Escherichia coli
SAMEA104146633	6003271	773	7766.2	278419	203	0	0	60352	29	33136	54	4577	151	SAMEA104146633	Escherichia coli
SAMD00111225	821616	208	3950.08	101093	308	0	0	6668	21	3629	56	1527	125	SAMD00111225	Escherichia coli
SAMEA104455086	3434680	8162	420.81	2110	200	0	0	459	2855	407	4452	221	6545	SAMEA104455086	Escherichia coli
SAMEA5098776	8133342	5914	1375.27	48126	200	0	0	2887	634	1478	1432	521	3244	SAMEA5098776	Escherichia coli
SAMEA5098031	5600865	525	10668.31	336733	202	0	0	113465	16	47655	32	11321	72	SAMEA5098031	Escherichia coli
SAMEA5075696	4272637	2075	2059.1	30476	207	0	0	3385	343	1932	672	841	1335	SAMEA5075696	Escherichia coli
SAMN03922908	5484481	550	9971.78	108033	200	0	0	36715	51	21814	89	10717	160	SAMN03922908	Escherichia coli
SAMEA3322020	7958322	2420	3288.56	39678	200	0	0	8940	248	4881	482	1488	1062	SAMEA3322020	Escherichia coli
SAMEA1570414	6121983	1214	5042.82	104547	201	0	0	14930	108	8088	220	1844	517	SAMEA1570414	Escherichia coli
SAMEA7584723	6628194	1263	5247.98	105639	201	0	0	17063	100	7742	217	1906	560	SAMEA7584723	Escherichia coli
SAMN20065143	7962689	10438	762.86	36523	200	0	0	1415	1243	655	2923	241	6881	SAMN20065143	Escherichia coli
SAMEA5075637	4833128	2157	2240.67	46464	211	0	0	3995	317	2182	644	895	1326	SAMEA5075637	Escherichia coli
SAMEA104288121	6913575	4776	1447.57	45442	200	0	0	2837	592	1509	1262	553	2735	SAMEA104288121	Escherichia coli
SAMN40219144	5770989	1032	5592.04	106555	200	0	0	18989	80	8405	171	2199	444	SAMN40219144	Escherichia coli
SAMD00111243	480717	103	4667.16	109734	249	0	0	23736	5	6072	17	1581	49	SAMD00111243	Escherichia coli
SAMN07762495	2716678	627	4332.82	27252	337	0	0	6246	130	4056	240	2267	418	SAMN07762495	Escherichia coli
SAMN38649488	5278909	3272	1613.36	210937	204	0	0	45734	26	2202	122	387	1426	SAMN38649488	Escherichia coli
SAMN18191163	7652234	8234	929.35	61374	200	0	0	2653	635	994	1573	250	4817	SAMN18191163	Escherichia coli
SAMN32919416	676003	378	1788.37	8886	714	0	0	1923	108	1472	188	979	299	SAMN32919416	Escherichia coli
SAMN18191216	7123047	4991	1427.18	96716	200	0	0	2591	576	1290	1369	538	3174	SAMN18191216	Escherichia coli
SAMN07738671	4175433	1241	3364.57	39810	202	0	0	5196	211	3133	416	1453	805	SAMN07738671	Escherichia coli
SAMEA8606868	6034965	9918	608.49	41530	200	0	0	766	1653	453	3731	262	7277	SAMEA8606868	Escherichia coli
SAMEA1570819	5471421	2757	1984.56	39573	200	0	0	5414	279	2803	560	703	1276	SAMEA1570819	Escherichia coli
SAMEA7457228	6581441	3804	1730.14	56513	201	0	0	4175	371	1798	843	613	2165	SAMEA7457228	Escherichia coli
SAMN04388557	5737462	1070	5362.11	101234	200	100	1	18578	94	12594	170	5165	305	SAMN04388557	Escherichia coli
SAMN18191013	6526513	3459	1886.82	66511	200	0	0	5594	260	2061	653	614	1893	SAMN18191013	Escherichia coli
SAMN36451223	5923990	2849	2079.32	647434	200	0	0	204510	9	80317	19	361	214	SAMN36451223	Escherichia coli
SAMN18524172	2439288	1445	1688.09	14343	248	0	0	1900	350	1288	664	871	1130	SAMN18524172	Escherichia coli
SAMEA4848519	9976019	9153	1089.92	81230	200	0	0	1742	1191	844	2836	438	6287	SAMEA4848519	Escherichia coli
SAMEA104653439	2716776	1386	1960.16	29276	208	0	0	2759	302	1739	550	948	969	SAMEA104653439	Escherichia coli
SAMN05371983	5050775	3018	1673.55	88338	200	300	3	17995	79	8439	159	253	800	SAMN05371983	Escherichia coli
SAMN38256316	10547594	3422	3082.29	119620	200	0	0	34606	93	18631	174	1071	532	SAMN38256316	Escherichia coli
SAMEA104292822	9449586	133	71049.52	758435	201	0	0	369262	9	194179	16	100669	29	SAMEA104292822	Escherichia coli
SAMN04393243	7430845	9864	753.33	42432	200	200	2	2246	755	857	1832	215	6370	SAMN04393243	Escherichia coli
SAMEA111272111	9036673	8679	1041.21	52090	201	0	0	1841	1003	892	2448	445	5390	SAMEA111272111	Escherichia coli
SAMN09866874	756854	40	18921.35	92524	410	0	0	49765	7	35125	10	11754	17	SAMN09866874	Escherichia coli
SAMN07762252	3796372	1201	3161.01	17844	212	0	0	4572	271	2913	482	1591	831	SAMN07762252	Escherichia coli
SAMEA5876599	8935894	11526	775.28	49942	201	0	0	1613	986	615	2897	247	7551	SAMEA5876599	Escherichia coli
SAMEA48228418	5937241	3687	1610.32	47447	200	0	0	3771	399	1958	837	499	2019	SAMEA48228418	Escherichia coli
SAMEA4415592	3516853	1234	2849.96	46386	200	100	1	5675	175	3514	330	1558	618	SAMEA4415592	Escherichia coli
SAMN22563829	187818	2	93909.0	169357	18461	0	0	169357	1	169357	1	169357	1	SAMN22563829	Escherichia coli
SAMEA4607446	6019960	956	6297.03	134984	204	0	0	26760	60	13823	122	3112	289	SAMEA4607446	Escherichia coli
SAMEA111270580	9776376	6925	1411.75	50415	200	0	0	3835	548	1435	1402	511	3829	SAMEA111270580	Escherichia coli
SAMN29963755	5363607	1749	3066.67	126873	205	0	0	18895	67	8103	151	1184	514	SAMN29963755	Escherichia coli
SAMEA7230819	1700952	170	10005.6	59005	236	0	0	24266	23	11774	42	5160	85	SAMEA7230819	Escherichia coli
SAMEA111551586	5307816	1035	5128.32	85716	201	0	0	19913	82	12716	148	4665	282	SAMEA111551586	Escherichia coli
SAMEA8571182	8703815	5039	1727.29	40132	200	0	0	3357	572	1473	1369	642	3262	SAMEA8571182	Escherichia coli
SAMEA2223880	6203700	3924	1580.96	51894	200	0	0	5168	302	2268	662	422	1984	SAMEA2223880	Escherichia coli
SAMN14103111	2804859	574	4886.51	43250	223	0	0	9394	87	5416	167	2398	317	SAMN14103111	Escherichia coli
SAMEA111272110	6835750	1887	3622.55	128344	202	0	0	14124	132	7218	271	1663	643	SAMEA111272110	Escherichia coli
SAMEA20143918	812798	398	2042.21	10439	218	0	0	2601	94	1742	169	937	293	SAMEA20143918	Escherichia coli
SAMN07762471	596056	364	1637.52	16224	224	0	0	2257	81	1540	144	761	247	SAMN07762471	Escherichia coli
SAMN08865247	1966871	249	7899.08	45751	211	0	0	12472	49	7158	91	4039	163	SAMN08865247	Escherichia coli
SAMEA7817958	6077339	525	11575.88	201679	200	0	0	52659	34	23666	69	4870	182	SAMEA7817958	Escherichia coli
SAMEA5377075	10532520	12955	813.01	44902	200	0	0	1492	1407	730	3430	265	8331	SAMEA5377075	Escherichia coli
SAMEA110347592	10360702	6401	1618.61	59756	200	0	0	6090	421	2521	934	516	3078	SAMEA110347592	Escherichia coli
SAMN35733999	5710010	4944	1154.94	14597	200	0	0	2265	745	1310	1405	412	2823	SAMN35733999	Escherichia coli
SAMEA8571188	6280998	1001	6274.72	215713	208	0	0	29966	57	12489	126	2410	352	SAMEA8571188	Escherichia coli
SAMN41330154	254583	139	1831.53	15713	206	0	0	3341	22	2083	42	873	78	SAMN41330154	Escherichia coli
SAMEA12940741	5354237	183	29258.13	378927	200	0	0	154678	12	84195	20	34941	39	SAMEA12940741	Escherichia coli
SAMD00256197	174885	73	2395.68	13840	642	0	0	3622	16	2284	29	1006	52	SAMD00256197	Escherichia coli
SAMN18191364	8052012	6346	1268.83	40144	200	0	0	2308	773	1147	1769	511	3973	SAMN18191364	Escherichia coli
SAMN10840041	3700354	871	4248.4	39559	229	0	0	5929	201	4035	352	2176	595	SAMN10840041	Escherichia coli
SAMEA8900043	3447636	457	7544.06	70364	202	0	0	15403	72	9709	130	5056	224	SAMEA8900043	Escherichia coli
SAMEA6424999	5778340	1848	3126.81	87329	201	0	0	15878	94	7863	196	1599	516	SAMEA6424999	Escherichia coli
SAMN12500112	3236503	786	4117.69	28879	274	0	0	5724	172	3749	312	2034	542	SAMN12500112	Escherichia coli
SAMN13755520	5330794	2075	2569.06	276609	200	0	0	77046	21	46854	38	5248	93	SAMN13755520	Escherichia coli
SAMEA5422214	7109221	1531	4643.51	81440	201	0	0	10426	175	5626	359	1729	828	SAMEA5422214	Escherichia coli
SAMN11104392	10078847	5838	1726.42	113209	203	0	0	12815	209	5191	458	444	2246	SAMN11104392	Escherichia coli
SAMN10840013	696217	389	1789.76	14303	255	0	0	2059	86	1445	169	875	292	SAMN10840013	Escherichia coli
SAMEA104107514	6818175	3653	1866.46	41490	200	0	0	4361	392	1942	864	617	2223	SAMEA104107514	Escherichia coli
SAMN05734315	7974671	6186	1289.15	45034	200	0	0	2808	637	1311	1469	413	3786	SAMN05734315	Escherichia coli
SAMEA5957607	1172237	518	2263.01	40780	204	0	0	2836	115	1903	215	1115	374	SAMEA5957607	Escherichia coli
SAMN12601610	9637892	10910	883.4	77574	200	0	0	1483	1361	741	3235	308	7197	SAMN12601610	Escherichia coli
SAMN15904812	540309	250	2161.24	97538	218	0	0	3147	17	1521	69	841	167	SAMN15904812	Escherichia coli
SAMN01922332	313393	218	1437.58	13195	610	0	0	1735	41	958	92	697	170	SAMN01922332	Escherichia coli
SAMEA8570931	7907127	7931	996.99	60355	200	0	0	1854	870	928	2082	358	4774	SAMEA8570931	Escherichia coli
SAMN16787529	8325559	5497	1514.56	92503	200	0	0	2505	713	1355	1626	607	3529	SAMN16787529	Escherichia coli
SAMEA8899996	755546	188	4018.86	33840	208	0	0	6748	32	4382	60	1910	109	SAMEA8899996	Escherichia coli
SAMEA5740917	7285871	2618	2782.99	53997	202	0	0	6694	288	3451	592	1343	1284	SAMEA5740917	Escherichia coli
SAMEA8899971	165819	80	2072.74	15569	223	0	0	4138	11	2387	21	752	47	SAMEA8899971	Escherichia coli
SAMEA5075667	4623654	1675	2760.39	43329	204	0	0	5127	246	2859	488	1145	987	SAMEA5075667	Escherichia coli
SAMN25050122	8940299	12811	697.86	46068	200	0	0	966	2072	527	4629	274	9310	SAMN25050122	Escherichia coli
SAMEA2223873	6502124	4675	1390.83	47043	200	0	0	4052	374	1637	878	399	2600	SAMEA2223873	Escherichia coli
SAMN30167402	8611615	10231	841.72	93821	201	0	0	1927	747	674	2366	268	6466	SAMN30167402	Escherichia coli
SAMEA6424317	7544343	6494	1161.74	97277	201	0	0	2605	627	1247	1474	407	3580	SAMEA6424317	Escherichia coli
SAMN12648199	8750293	8681	1007.98	82367	200	0	0	2060	777	803	2194	362	5590	SAMN12648199	Escherichia coli
SAMN41560770	2711112	492	5510.39	40151	255	0	0	10158	78	5979	146	2577	273	SAMN41560770	Escherichia coli
SAMN12600002	9694321	6083	1593.67	59983	200	0	0	3924	533	1458	1365	617	3550	SAMN12600002	Escherichia coli
SAMN12731455	5305138	106	50048.47	526875	210	0	0	336156	7	169942	11	90709	19	SAMN12731455	Escherichia coli
SAMN30195837	7184790	3800	1890.73	108975	200	0	0	6061	288	2446	665	648	1875	SAMN30195837	Escherichia coli
SAMEA9477819	11998320	11929	1005.81	92977	200	0	0	2175	1005	809	2911	361	7244	SAMEA9477819	Escherichia coli
SAMEA20182168	610139	323	1888.98	12257	218	0	0	2302	78	1573	141	917	241	SAMEA20182168	Escherichia coli
SAMEA20133418	2580497	763	3382.04	28743	220	0	0	4676	157	3020	297	1667	525	SAMEA20133418	Escherichia coli
SAMEA115097398	397506	19	20921.37	231923	413	0	0	231923	1	34121	3	9605	7	SAMEA115097398	Escherichia coli
SAMN08159362	118386	14	8456.14	109428	207	0	0	109428	1	109428	1	109428	1	SAMN08159362	Escherichia coli
SAMN17367916	6758949	5778	1169.77	43058	202	0	0	3117	529	1372	1179	339	3242	SAMN17367916	Escherichia coli
SAMEA104292754	7782324	4068	1913.06	87312	203	0	0	3561	491	1984	1088	778	2279	SAMEA104292754	Escherichia coli
SAMEA8903699	446638	402	1111.04	9252	205	0	0	1852	64	907	132	441	287	SAMEA8903699	Escherichia coli
