sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC	QC_Prediction
SAMN16443714	871147	293	2973.2	16922	212	0	0	5833	51	3621	89	1634	158	20.7	0.07	22.59	Neural Network (Specific Model)	11.0	0.867	5833.0	243.71911196911196	871147.0	0.5	1036.0		Y	N	SRR12829279	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	95.38	4.117	NA-NA	HIGH	NA-NA	9.0	4.117	4895/21223	95.38	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN32025493	5444636	392	13889.38	375689	200	0	0	111197	15	68166	27	20444	56	100.0	0.08	100.0	Neural Network (Specific Model)	11.0	0.874	111197.0	291.9196035242291	5444636.0	0.5	5448.0		Y	N	SRR22516096	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.25	45.0	NA-NA	HIGH	NA-NA	45.0	47.329	8944/21223	97.25	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN31034527	4943948	71	69633.07	1065349	202	0	0	389187	4	312772	7	142136	12	100.0	0.17	100.0	Neural Network (Specific Model)	11.0	0.883	389187.0	311.093916755603	4943948.0	0.51	4685.0		Y	N	SRR21721972	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.33	77.0	NA-NA	HIGH	NA-NA	77.0	76.602	9169/21223	97.33	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN26797091	6547218	4592	1425.79	244742	200	0	0	69946	28	28125	58	254	1813	99.85	0.36	100.0	Neural Network (Specific Model)	11.0	0.824	69946.0	201.59630872483223	6547218.0	0.5	8940.0		Y	N	SRR18965690	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.41	20.0	NA-NA	HIGH	NA-NA	20.0	19.862	9400/21223	97.41	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5098776	8133342	5914	1375.27	48126	200	0	0	2887	634	1478	1432	521	3244	100.0	29.24	100.0	Neural Network (Specific Model)	11.0	0.874	2887.0	198.81450803212851	8133342.0	0.5	11952.0		Y	N	ERR3832120	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.25	31.0	NA-NA	HIGH	NA-NA	31.0	27.19	16826/21223	99.25	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA6240769	8096504	3537	2289.09	83552	202	0	0	5838	308	2561	731	796	1866	96.09	40.91	99.98	Neural Network (Specific Model)	11.0	0.883	5838.0	238.18163692553085	8096504.0	0.51	10031.0		Y	N	ERR5311851	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.82	21.0	NA-NA	HIGH	NA-NA	21.0	20.822	20079/21223	99.82	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN27992945	7806536	8351	934.8	52486	200	0	0	1914	867	881	2065	315	5207	92.36	21.89	96.69	Gradient Boost (General Model)	11.0	0.877	1914.0	166.6920442954976	7806536.0	0.5	13726.0		Y	N	SRR19010563	gtdb_genomes_reps_r214/database/GCF/000/466/485/GCF_000466485.1_genomic.fna.gz	0.3866	0.3705	98.22	0.061	97.10-99.50	0.061	0.04-0.08	1.0	1.028	716/20744	89.71	NZ_KE992784.1 [Clostridium] symbiosum ATCC 14940 Scaffold0, whole genome shotgun sequence	Clostridium_Q symbiosum	Escherichia coli	F	Fail	Fail
SAMN27992945	7806536	8351	934.8	52486	200	0	0	1914	867	881	2065	315	5207	92.36	21.89	96.69	Gradient Boost (General Model)	11.0	0.877	1914.0	166.6920442954976	7806536.0	0.5	13726.0		Y	N	SRR19010563	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	99.6134	99.6295	98.98	15.592	NA-NA	HIGH	NA-NA	14.0	15.592	15460/21223	98.98	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5786667	6508490	2974	2188.46	73695	200	0	0	7812	214	3337	462	643	1392	100.0	12.24	100.0	Neural Network (Specific Model)	11.0	0.877	7812.0	227.84543717152417	6508490.0	0.51	8372.0		Y	N	ERR3531167	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.66	109.0	NA-NA	HIGH	NA-NA	109.0	111.793	10201/21223	97.66	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN10040607	4420833	549	8052.52	111581	200	0	0	23122	57	14364	105	6306	193	100.0	0.15	100.0	Neural Network (Specific Model)	11.0	0.857	23122.0	273.10286823377186	4420833.0	0.51	4637.0		Y	N	SRR8186701	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	96.96	86.0	NA-NA	HIGH	NA-NA	86.0	96.247	8160/21223	96.96	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA12816838	4667954	120	38899.62	453271	200	0	0	136609	10	79408	18	29245	36	100.0	0.17	100.0	Neural Network (Specific Model)	11.0	0.876	136609.0	309.93985474353155	4667954.0	0.51	4406.0		Y	N	ERR11195346	gtdb_genomes_reps_r214/database/GCF/000/392/875/GCF_000392875.1_genomic.fna.gz	0.657	0.3771	98.45	0.39	98.24-98.71	0.390	0.36-0.42	1.0	1.195	2485/12252	94.98	NZ_KB944588.1 Enterococcus faecalis ATCC 19433 acAqW-supercont1.1, whole genome shotgun sequence	Enterococcus faecalis	Escherichia coli	T	Fail	Pass
SAMEA12816838	4667954	120	38899.62	453271	200	0	0	136609	10	79408	18	29245	36	100.0	0.17	100.0	Neural Network (Specific Model)	11.0	0.876	136609.0	309.93985474353155	4667954.0	0.51	4406.0		Y	N	ERR11195346	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	99.343	99.6229	97.28	59.0	NA-NA	HIGH	NA-NA	59.0	58.627	9030/21223	97.28	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN13245801	10140899	10098	1004.25	59073	200	0	0	1998	980	781	2654	363	6483	98.81	50.02	97.36	Neural Network (Specific Model)	11.0	0.876	1998.0	174.51521381578948	10140899.0	0.5	17024.0		Y	N	SRR10420695	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.88	29.0	NA-NA	HIGH	NA-NA	29.0	28.044	10919/21223	97.88	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA7038622	4987388	185	26958.85	257234	201	0	0	100138	15	55059	28	25006	52	100.0	0.05	100.0	Neural Network (Specific Model)	11.0	0.878	100138.0	306.2634554973822	4987388.0	0.51	4775.0		Y	N	ERR4317676	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.29	25.0	NA-NA	HIGH	NA-NA	25.0	25.277	9067/21223	97.29	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA8570783	9203824	11263	817.17	78603	202	0	0	1823	845	654	2631	256	7199	100.0	42.5	100.0	Gradient Boost (General Model)	11.0	0.877	1823.0	159.45294952122	9203824.0	0.51	16918.0		Y	N	ERR9767841	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.0	45.0	NA-NA	HIGH	NA-NA	45.0	44.509	11359/21223	98.0	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN22060845	5355096	244	21947.11	427288	230	0	0	145259	12	90564	20	31049	40	100.0	0.18	100.0	Neural Network (Specific Model)	11.0	0.875	145259.0	301.34161849710983	5355096.0	0.51	5190.0		Y	N	SRR16203530	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.53	39.0	NA-NA	HIGH	NA-NA	39.0	38.52	9781/21223	97.53	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN30415849	7413812	7182	1032.28	34164	200	0	0	2268	813	1036	1778	336	4426	99.53	13.02	99.75	Neural Network (Specific Model)	11.0	0.876	2268.0	175.34591144149968	7413812.0	0.51	12376.0		Y	N	SRR21143556	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.89	10.421	NA-NA	HIGH	NA-NA	10.0	10.421	10952/21223	97.89	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN20065094	5656601	379	14925.07	345946	202	0	0	111121	14	65841	27	21708	55	100.0	0.34	100.0	Neural Network (Specific Model)	11.0	0.873	111121.0	293.4231316725979	5656601.0	0.5	5620.0		Y	N	SRR15047318	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.54	42.0	NA-NA	HIGH	NA-NA	42.0	40.533	9805/21223	97.54	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMN11381897	5339912	265	20150.61	360804	209	0	0	197249	10	152702	16	24989	32	100.0	1.06	100.0	Neural Network (Specific Model)	11.0	0.879	197249.0	299.3095874713522	5339912.0	0.51	5236.0		Y	N	SRR10286177	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.73	18.0	NA-NA	HIGH	NA-NA	18.0	18.675	14293/21223	98.73	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN20065356	10380949	5681	1827.31	70984	202	0	0	11864	223	5182	481	466	2133	98.41	47.13	100.0	Neural Network (Specific Model)	11.0	0.879	11864.0	223.91866274797945	10380949.0	0.51	13610.0		Y	N	SRR15047363	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.58	67.0	NA-NA	HIGH	NA-NA	67.0	70.518	18602/21223	99.58	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA113542929	5007268	232	21583.05	237164	201	0	0	109977	16	58817	29	18948	59	100.0	0.1	100.0	Neural Network (Specific Model)	11.0	0.873	109977.0	302.39034996893764	5007268.0	0.51	4829.0		Y	N	ERR11503879	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.33	163.0	NA-NA	HIGH	NA-NA	163.0	160.016	9159/21223	97.33	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN15744993	5329200	138	38617.39	638227	218	0	0	201845	8	154054	14	40115	27	100.0	1.09	100.0	Neural Network (Specific Model)	11.0	0.88	201845.0	298.813429988554	5329200.0	0.51	5242.0		Y	N	SRR12406512	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.52	52.0	NA-NA	HIGH	NA-NA	52.0	52.134	18300/21223	99.52	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN14103111	2804859	574	4886.51	43250	223	0	0	9394	87	5416	167	2398	317	52.82	0.12	60.62	Neural Network (Specific Model)	11.0	0.88	9394.0	273.04806098773616	2804859.0	0.51	3017.0		Y	N	SRR11179849	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.47	4.058	NA-NA	HIGH	NA-NA	3.0	4.058	13171/21223	98.47	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5786786	5544770	1556	3563.48	41069	200	0	0	9708	180	5626	329	2021	640	98.64	13.48	100.0	Neural Network (Specific Model)	11.0	0.87	9708.0	252.4754149702474	5544770.0	0.51	6386.0		Y	N	ERR3531137	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.5	10.883	NA-NA	HIGH	NA-NA	10.0	10.883	9670/21223	97.5	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5206504	1523584	563	2706.19	13692	329	0	0	3685	139	2400	238	1342	405	37.4	0.09	34.91	Neural Network (Specific Model)	11.0	0.877	3685.0	253.7708925525867	1523584.0	0.51	1759.0		Y	N	ERR3040218	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.27	5.624	NA-NA	HIGH	NA-NA	5.0	5.624	8993/21223	97.27	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA7356855	6597662	2133	3093.14	124538	200	0	0	10219	139	5032	324	1252	850	98.79	12.13	99.96	Neural Network (Specific Model)	11.0	0.882	10219.0	252.64414707028712	6597662.0	0.5	7697.0		Y	N	ERR7449285	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.97	36.0	NA-NA	HIGH	NA-NA	36.0	34.784	11254/21223	97.97	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN12731455	5305138	106	50048.47	526875	210	0	0	336156	7	169942	11	90709	19	100.0	5.98	100.0	Neural Network (Specific Model)	11.0	0.884	336156.0	308.71952662721895	5305138.0	0.51	5070.0		Y	N	SRR10175915	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.83	86.0	NA-NA	HIGH	NA-NA	86.0	86.401	14727/21223	98.83	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Pass
SAMN27009910	4276732	616	6942.75	71166	200	0	0	18232	70	11825	128	4395	243	100.0	0.2	100.0	Neural Network (Specific Model)	11.0	0.87	18232.0	267.9810344827586	4276732.0	0.51	4640.0		Y	N	SRR18753485	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	96.91	10.522	NA-NA	HIGH	NA-NA	10.0	10.522	8018/21223	96.91	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA111331461	5154184	100	51541.84	386262	202	0	0	206869	9	139044	14	67543	26	100.0	1.22	100.0	Neural Network (Specific Model)	11.0	0.882	206869.0	308.7851475076297	5154184.0	0.51	4915.0		Y	N	ERR10177189	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.77	82.0	NA-NA	HIGH	NA-NA	82.0	83.343	14441/21223	98.77	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN14290477	4690294	550	8527.81	86643	211	0	0	26034	53	15331	100	5875	191	100.0	0.0	100.0	Neural Network (Specific Model)	11.0	0.863	26034.0	271.3979120658502	4690294.0	0.51	4981.0		Y	N	SRR11235487	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.05	51.0	NA-NA	HIGH	NA-NA	51.0	51.774	8394/21223	97.05	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA5161525	5156734	149	34608.95	813449	213	0	0	183360	8	98713	16	47328	30	100.0	0.11	100.0	Neural Network (Specific Model)	11.0	0.874	183360.0	304.90719351570414	5156734.0	0.5	4935.0		Y	N	ERR4023854	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.32	37.0	NA-NA	HIGH	NA-NA	37.0	36.871	9138/21223	97.32	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN13024412	5586012	332	16825.34	784078	201	0	0	230851	8	113209	15	12888	49	99.93	5.35	100.0	Neural Network (Specific Model)	11.0	0.871	230851.0	297.98404547955255	5586012.0	0.5	5453.0		Y	N	SRR10271651	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.14	121.0	NA-NA	HIGH	NA-NA	121.0	120.839	16262/21223	99.14	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
