Sample	Reasons
SAMN37848331	sylph_min_abundance;checkm2_max_contam
SAMEA3165778	sylph_min_abundance;checkm2_max_contam
SAMEA115749249	sylph_min_abundance
SAMN00768257	sylph_min_abundance
SAMEA3252060	checkm2_min_compl
SAMEA9436145	sylph_min_abundance;checkm2_max_contam
SAMEA7550712	sylph_min_abundance
SAMEA115837766	sylph_min_abundance;checkm2_max_contam
SAMEA111270279	sylph_min_abundance;checkm2_max_contam
SAMEA6247831	sylph_min_abundance;checkm2_max_contam
SAMN30543474	max_contig_num;checkm2_min_compl;checkm2_max_contam
SAMN22935789	sylph_min_abundance
SAMN02849846	checkm2_min_compl
SAMN03956213	sylph_min_abundance;checkm2_max_contam
SAMEA3980782	checkm2_max_contam
SAMN40030821	sylph_min_abundance
SAMEA111271138	sylph_min_abundance
SAMEA6636518	sylph_min_abundance
SAMEA4846668	sylph_min_abundance
SAMN19129632	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN18878120	sylph_min_abundance
SAMN25999944	sylph_min_abundance
SAMN40644517	sylph_min_abundance
SAMN08537593	sylph_no_species_call;checkm2_min_compl
SAMN41139891	sylph_min_abundance
SAMN29128726	checkm2_max_contam
SAMEA23773168	sylph_min_abundance
SAMN17516838	max_contig_num;checkm2_max_contam
SAMEA8942393	sylph_no_species_call
SAMEA6499719	sylph_min_abundance
SAMEA111269960	sylph_min_abundance;checkm2_max_contam
SAMN07658902	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN25653497	sylph_min_abundance;checkm2_max_contam
SAMEA2189027	checkm2_min_compl
SAMN41472010	sylph_min_abundance;checkm2_max_contam
SAMEA5545327	sylph_min_abundance;checkm2_max_contam
SAMN22105965	sylph_min_abundance
SAMEA5621998	max_contig_num;checkm2_max_contam
SAMN05276558	sylph_min_abundance
SAMEA111273482	sylph_min_abundance;checkm2_min_compl
SAMEA112853038	sylph_min_abundance
SAMEA4781722	sylph_min_abundance
SAMEA4967084	sylph_min_abundance;checkm2_max_contam
SAMN33483617	sylph_min_abundance
SAMEA7698223	sylph_min_abundance;checkm2_max_contam
SAMN32927472	sylph_min_abundance
SAMN26366723	sylph_min_abundance;checkm2_max_contam
SAMN00710642	sylph_min_abundance
SAMEA4673310	sylph_min_abundance;checkm2_max_contam
SAMEA4927328	sylph_min_abundance
SAMEA4549855	sylph_min_abundance
SAMN03197634	sylph_min_abundance
SAMEA6829032	sylph_min_abundance
SAMN02745531	checkm2_min_compl
SAMEA4967065	sylph_min_abundance;checkm2_max_contam
SAMN16260628	max_contig_num;min_N50;checkm2_max_contam
SAMN41033160	sylph_min_abundance
SAMN16966148	sylph_min_abundance
SAMN17736540	sylph_min_abundance
SAMN00808934	sylph_min_abundance
SAMEA9334538	sylph_min_abundance;checkm2_max_contam
SAMEA7553852	sylph_min_abundance
SAMD00499143	sylph_min_abundance
SAMN41759793	sylph_min_abundance
SAMEA7619584	sylph_min_abundance;checkm2_max_contam
SAMN15964668	sylph_min_abundance
SAMEA1119575	sylph_min_abundance
SAMN10343280	max_contig_num
SAMN41472263	sylph_min_abundance;checkm2_max_contam
SAMEA1919832	sylph_min_abundance
SAMEA4621612	sylph_min_abundance
SAMEA1401093	sylph_min_abundance;checkm2_max_contam
SAMN25988806	sylph_min_abundance
SAMEA14321190	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA8609917	sylph_min_abundance;checkm2_max_contam
SAMN33009637	max_contig_num;min_N50;checkm2_max_contam
SAMN16556915	sylph_min_abundance;checkm2_max_contam
SAMEA100911418	sylph_min_abundance
SAMEA1401144	sylph_min_abundance
SAMD00556164	checkm2_min_compl
SAMD00022945	checkm2_min_compl
SAMEA8158367	sylph_min_abundance
SAMEA7357043	sylph_min_abundance;checkm2_max_contam
SAMN10261547	max_contig_num;checkm2_max_contam
SAMEA12361915	sylph_min_abundance
SAMEA111271941	max_contig_num;checkm2_max_contam
SAMEA7530526	sylph_min_abundance;checkm2_max_contam
SAMN11029898	min_N50;checkm2_min_compl
SAMEA3206733	sylph_min_abundance
SAMN15335182	sylph_min_abundance
SAMN33769725	sylph_min_abundance
SAMN02441740	checkm2_min_compl
SAMN41418481	sylph_min_abundance
SAMEA110347046	sylph_min_abundance
SAMN02923969	sylph_min_abundance;checkm2_min_compl
SAMEA4623360	sylph_min_abundance;checkm2_max_contam
SAMEA13300012	checkm2_max_contam
SAMEA4482797	min_N50;sylph_min_abundance;checkm2_min_compl
SAMN04393274	checkm2_max_contam
SAMN09238722	sylph_min_abundance;checkm2_max_contam
SAMN41332081	sylph_min_abundance
SAMN08913100	sylph_min_abundance
SAMN41444102	sylph_min_abundance;checkm2_max_contam
SAMEA3642805	sylph_min_abundance
SAMEA9477164	sylph_min_abundance
SAMEA1465940	checkm2_max_contam
SAMN41329071	sylph_min_abundance
SAMEA3736307	min_N50;checkm2_min_compl
SAMN11053710	sylph_min_abundance
SAMN40032138	sylph_min_abundance;checkm2_max_contam
SAMN10261312	sylph_min_abundance
SAMEA6507645	sylph_min_abundance
SAMN41328400	sylph_min_abundance
SAMEA104146957	sylph_min_abundance
SAMN20368116	sylph_min_abundance;checkm2_max_contam
SAMEA6424956	max_contig_num;checkm2_max_contam
SAMN41498768	sylph_min_abundance
SAMEA6599692	sylph_min_abundance;checkm2_max_contam
SAMN18146472	sylph_min_abundance
SAMEA111271086	sylph_min_abundance
SAMEA3982331	max_contig_num;checkm2_max_contam
SAMEA7530228	sylph_min_abundance;checkm2_max_contam
SAMEA4621389	sylph_min_abundance
SAMN00768091	sylph_min_abundance
SAMEA7456249	checkm2_max_contam
SAMEA112941907	sylph_min_abundance;checkm2_max_contam
SAMEA111270713	max_contig_num;checkm2_max_contam
SAMN07658165	sylph_min_abundance;checkm2_max_contam
SAMEA110013225	sylph_min_abundance;checkm2_max_contam
SAMEA5161863	sylph_min_abundance;checkm2_max_contam
SAMEA7279047	sylph_min_abundance;checkm2_max_contam
SAMN32927402	sylph_min_abundance
SAMN06011430	sylph_min_abundance
SAMEA104146894	checkm2_max_contam
SAMEA4966617	sylph_min_abundance
SAMEA5613905	sylph_min_abundance
SAMEA7616061	sylph_min_abundance;checkm2_max_contam
SAMEA79011418	sylph_min_abundance
SAMN32974843	sylph_min_abundance
SAMEA2259360	sylph_min_abundance;checkm2_max_contam
SAMEA1559470	sylph_min_abundance;checkm2_max_contam
SAMEA3381620	sylph_min_abundance;checkm2_max_contam
SAMN15957536	sylph_min_abundance
SAMEA104703246	sylph_min_abundance
SAMEA2275204	sylph_min_abundance
SAMEA1486374	sylph_min_abundance
SAMN27861797	sylph_min_abundance
SAMN04496847	checkm2_max_contam
SAMN25076303	sylph_min_abundance
SAMN41340218	sylph_min_abundance;checkm2_max_contam
SAMEA7554272	checkm2_max_contam
SAMN11056447	sylph_min_abundance
SAMN33769855	sylph_min_abundance
SAMEA4831828	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN16616515	sylph_min_abundance
SAMN17054842	sylph_no_species_call
SAMN32974807	sylph_min_abundance
SAMN12724566	sylph_min_abundance
SAMEA1025894	sylph_min_abundance;checkm2_max_contam
SAMN26675520	sylph_min_abundance
SAMN07514424	checkm2_min_compl
SAMN18348400	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN02744788	sylph_no_species_call;checkm2_min_compl
SAMEA1034587	sylph_min_abundance
SAMEA23791168	sylph_min_abundance
SAMN41334405	sylph_min_abundance
SAMN37718961	sylph_min_abundance
SAMEA7817735	sylph_min_abundance;checkm2_max_contam
SAMN19729946	sylph_min_abundance
SAMEA12565967	sylph_min_abundance;checkm2_max_contam
SAMD00499188	sylph_min_abundance
SAMEA4040882	sylph_min_abundance;checkm2_max_contam
SAMEA4966824	sylph_min_abundance
SAMEA4504355	sylph_min_abundance;checkm2_max_contam
SAMN00792159	sylph_min_abundance
SAMN41760081	sylph_min_abundance
SAMN26027328	sylph_min_abundance;checkm2_max_contam
SAMEA12999739	max_contig_num;checkm2_max_contam
SAMEA111271392	max_contig_num;checkm2_max_contam
SAMN10080187	max_contig_num;checkm2_max_contam
SAMEA4846502	sylph_min_abundance
SAMN03476446	sylph_min_abundance
SAMN41332518	sylph_min_abundance
SAMN30543538	checkm2_min_compl
SAMN34233966	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN11848347	sylph_min_abundance;checkm2_max_contam
SAMN33940752	sylph_min_abundance
SAMN08134193	sylph_min_abundance
SAMEA113538425	sylph_min_abundance;checkm2_max_contam
SAMEA114462164	sylph_min_abundance;checkm2_max_contam
SAMN08362309	sylph_min_abundance
SAMN22334134	sylph_min_abundance
SAMEA4384447	sylph_min_abundance;checkm2_max_contam
SAMEA5855674	sylph_min_abundance
SAMEA113537405	sylph_min_abundance;checkm2_max_contam
SAMN19375678	sylph_min_abundance;checkm2_max_contam
SAMEA114639752	max_contig_num
SAMEA8611449	checkm2_max_contam
SAMEA9976411	sylph_min_abundance
SAMEA2820933	sylph_min_abundance
SAMN09683660	sylph_min_abundance;checkm2_max_contam
SAMEA7838241	sylph_min_abundance
SAMEA4680480	sylph_min_abundance
SAMEA4504364	sylph_min_abundance;checkm2_max_contam
SAMN39953912	sylph_min_abundance
SAMEA4966914	sylph_min_abundance
SAMEA4831691	sylph_min_abundance
SAMN11132277	checkm2_max_contam
SAMN22334719	sylph_min_abundance
SAMN08865252	checkm2_min_compl
SAMN41790705	max_contig_num;min_N50;checkm2_max_contam
SAMN32508613	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA1708857	sylph_min_abundance
SAMN32709539	sylph_min_abundance;checkm2_max_contam
SAMEA4621432	sylph_min_abundance
SAMEA3650041	checkm2_max_contam
SAMEA115652492	sylph_min_abundance
SAMN12422844	sylph_min_abundance;checkm2_max_contam
SAMEA104411790	sylph_min_abundance;checkm2_max_contam
SAMN41033147	sylph_min_abundance
SAMN40547107	sylph_min_abundance
SAMEA110355468	sylph_min_abundance;checkm2_max_contam
SAMEA110355801	max_contig_num;min_N50;checkm2_max_contam
SAMN41759608	sylph_min_abundance
SAMEA104157127	sylph_min_abundance
SAMEA9334715	sylph_min_abundance;checkm2_max_contam
SAMD00220372	sylph_min_abundance
SAMEA3252078	checkm2_min_compl
SAMEA6636654	sylph_min_abundance
SAMEA6627300	sylph_min_abundance
SAMD00500668	sylph_min_abundance
SAMEA5409434	sylph_min_abundance
SAMEA110355019	sylph_min_abundance
SAMEA8610552	sylph_min_abundance
SAMEA4967943	max_contig_num;min_N50;checkm2_max_contam
SAMEA5843032	sylph_min_abundance
SAMEA112622405	checkm2_min_compl
SAMN38072459	sylph_no_species_call
SAMN27780339	sylph_min_abundance
SAMEA7330211	sylph_min_abundance;checkm2_max_contam
SAMN41341822	checkm2_max_contam
SAMN07609338	sylph_min_abundance
SAMEA113538523	sylph_min_abundance;checkm2_max_contam
SAMN40465961	checkm2_max_contam
SAMEA104305458	sylph_min_abundance
SAMN08102377	min_N50;checkm2_min_compl
SAMN14972486	sylph_no_species_call
SAMN05980525	sylph_min_abundance
SAMEA1972354	sylph_more_than_one_species
SAMN38372492	max_contig_num;checkm2_max_contam
SAMN05276479	sylph_min_abundance;checkm2_max_contam
SAMN07718993	sylph_min_abundance;checkm2_max_contam
SAMN07658932	sylph_min_abundance
SAMEA1711652	sylph_min_abundance;checkm2_max_contam
SAMEA2533608	checkm2_min_compl
SAMN18679549	sylph_min_abundance;checkm2_max_contam
SAMN28701714	sylph_min_abundance
SAMN26794359	sylph_min_abundance
SAMEA5050761	sylph_min_abundance
SAMN10251113	sylph_min_abundance
SAMN02599058	sylph_min_abundance
SAMN32509505	checkm2_min_compl
SAMN10527296	sylph_min_abundance
SAMEA4831853	sylph_min_abundance
SAMEA29810668	max_contig_num;checkm2_max_contam
SAMEA3545359	sylph_min_abundance;checkm2_max_contam
SAMN11848863	checkm2_min_compl
SAMN13066745	sylph_min_abundance
SAMEA3304258	sylph_min_abundance
SAMEA7456163	checkm2_max_contam
SAMD00759031	checkm2_max_contam
SAMN04600221	sylph_min_abundance;checkm2_max_contam
SAMN30413949	sylph_min_abundance
SAMEA4966176	sylph_min_abundance
SAMEA5886225	sylph_min_abundance;checkm2_max_contam
SAMN24016439	sylph_no_species_call
SAMEA114240812	sylph_min_abundance
SAMN06921128	sylph_min_abundance
SAMN40242293	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN41449445	sylph_min_abundance;checkm2_max_contam
SAMEA112181469	checkm2_min_compl
SAMEA4846606	sylph_min_abundance
SAMN08163933	checkm2_min_compl
SAMEA7114132	sylph_min_abundance
SAMN00017662	sylph_no_species_call
SAMEA104411569	sylph_min_abundance;checkm2_max_contam
SAMEA2053998	sylph_min_abundance
SAMN38372779	sylph_min_abundance;checkm2_max_contam
SAMEA678342	sylph_min_abundance
SAMN12329253	max_contig_num;checkm2_max_contam
SAMN16357465	sylph_min_abundance;checkm2_max_contam
SAMN05734312	max_contig_num;checkm2_max_contam
SAMN08779371	sylph_no_species_call
SAMN32543553	sylph_min_abundance
SAMD00166971	sylph_min_abundance
SAMEA5244758	sylph_min_abundance
SAMEA103957225	sylph_no_species_call
SAMN08886160	checkm2_min_compl
SAMEA4832242	sylph_min_abundance;checkm2_max_contam
SAMN02198852	sylph_no_species_call;checkm2_min_compl
SAMEA91887418	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN16616521	sylph_min_abundance
SAMN05860077	sylph_min_abundance
SAMD00093490	sylph_no_species_call;checkm2_min_compl
SAMEA110665457	sylph_min_abundance;checkm2_max_contam
SAMEA104411890	sylph_min_abundance;checkm2_max_contam
SAMN27308068	sylph_min_abundance
SAMEA4709734	sylph_min_abundance
SAMN41629953	sylph_min_abundance;checkm2_max_contam
SAMEA2534820	checkm2_max_contam
SAMEA1559549	sylph_min_abundance
SAMN19375663	sylph_min_abundance;checkm2_max_contam
SAMN39918475	sylph_min_abundance
SAMN13192881	sylph_min_abundance
SAMEA4561109	sylph_min_abundance
SAMEA1403846	sylph_min_abundance;checkm2_max_contam
SAMN02199417	sylph_min_abundance;checkm2_min_compl
SAMN11849223	sylph_min_abundance
SAMN25159989	sylph_min_abundance
SAMEA10301784	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMEA1465961	sylph_min_abundance
SAMEA3367298	max_contig_num
SAMN18817174	sylph_min_abundance;checkm2_max_contam
SAMEA113537403	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA104451976	sylph_min_abundance;checkm2_max_contam
SAMN32509015	checkm2_max_contam
SAMN27519771	sylph_min_abundance
SAMN41515922	sylph_min_abundance;checkm2_max_contam
SAMEA104292819	checkm2_max_contam
SAMEA4706492	sylph_min_abundance
SAMEA113538246	sylph_min_abundance;checkm2_max_contam
SAMEA114462177	sylph_min_abundance
SAMEA4040975	checkm2_max_contam
SAMN15880020	checkm2_min_compl
SAMN07451236	sylph_min_abundance
SAMEA113538036	sylph_min_abundance
SAMEA7817849	max_contig_num;min_N50;checkm2_max_contam
SAMN19946314	sylph_min_abundance;checkm2_max_contam
SAMN12529421	checkm2_min_compl;checkm2_max_contam
SAMEA8610425	sylph_min_abundance;checkm2_max_contam
SAMN20061609	sylph_no_species_call;checkm2_min_compl
SAMEA3304260	sylph_min_abundance
SAMEA111272866	checkm2_max_contam
SAMEA4621466	sylph_min_abundance
SAMN03476221	sylph_min_abundance
SAMN25999983	sylph_min_abundance
SAMEA4846607	sylph_min_abundance
SAMN24782140	checkm2_min_compl
SAMEA5378426	sylph_min_abundance
SAMN05208721	sylph_min_abundance;checkm2_max_contam
SAMEA7551544	sylph_min_abundance;checkm2_max_contam
SAMEA5187555	max_contig_num;min_N50;checkm2_max_contam
SAMN11310039	sylph_min_abundance;checkm2_max_contam
SAMN29228717	sylph_min_abundance
SAMEA3390844	sylph_min_abundance;checkm2_max_contam
SAMEA104112296	sylph_min_abundance
SAMEA3164753	checkm2_max_contam
SAMN30552912	sylph_no_species_call
SAMN10966224	max_contig_num;checkm2_max_contam
SAMEA95509168	checkm2_max_contam
SAMEA6139292	min_N50;sylph_no_species_call;checkm2_no_diamond
SAMN07659852	sylph_min_abundance
SAMN07817027	sylph_min_abundance
SAMN35153921	sylph_min_abundance;checkm2_max_contam
SAMN38787634	sylph_min_abundance
SAMN34998813	sylph_min_abundance
SAMEA7530148	sylph_min_abundance;checkm2_max_contam
SAMN07658690	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN38372715	sylph_min_abundance
SAMN22167235	checkm2_max_contam
SAMEA7555159	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA5732517	sylph_min_abundance
SAMEA7297271	min_N50;checkm2_min_compl
SAMEA5419200	sylph_min_abundance;checkm2_max_contam
SAMEA5816433	sylph_min_abundance
SAMEA6492914	sylph_min_abundance
SAMEA10468688	sylph_min_abundance
SAMN16278056	sylph_min_abundance;checkm2_min_compl
SAMEA114565912	sylph_min_abundance
SAMEA9478753	sylph_min_abundance
SAMN36377341	sylph_no_species_call
SAMN09233080	sylph_min_abundance
SAMEA919830	sylph_min_abundance
SAMN32383399	checkm2_min_compl
SAMEA7552504	sylph_min_abundance;checkm2_max_contam
SAMN12667792	checkm2_min_compl
SAMEA8611393	sylph_no_species_call;checkm2_max_contam
SAMD00467461	sylph_min_abundance
SAMEA8701360	max_contig_num;min_N50;checkm2_max_contam
SAMN25893976	sylph_min_abundance;checkm2_max_contam
SAMEA7529113	sylph_min_abundance;checkm2_max_contam
SAMEA8611328	sylph_no_species_call;checkm2_max_contam
SAMN08159363	checkm2_min_compl
SAMEA114470184	sylph_min_abundance
SAMEA111435742	sylph_min_abundance;checkm2_max_contam
SAMEA7353859	sylph_min_abundance
SAMEA1033581	checkm2_max_contam
SAMN14165581	checkm2_max_contam
SAMEA1486420	sylph_min_abundance
SAMN32974756	sylph_min_abundance
SAMN22254826	sylph_min_abundance
SAMEA4027648	sylph_min_abundance
SAMN15242864	sylph_min_abundance
SAMN16712153	sylph_no_species_call
SAMEA8610031	sylph_min_abundance;checkm2_max_contam
SAMN29456864	checkm2_max_contam
SAMEA7589117	sylph_min_abundance;checkm2_max_contam
SAMEA7530234	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN09228820	sylph_min_abundance;checkm2_max_contam
SAMEA3926217	sylph_min_abundance
SAMEA114462198	sylph_min_abundance
SAMEA7356823	sylph_min_abundance
SAMEA112824919	sylph_min_abundance
SAMN03853192	sylph_min_abundance
SAMN41339266	sylph_min_abundance
SAMN12550394	sylph_min_abundance
SAMN22184073	sylph_min_abundance;checkm2_min_compl
SAMEA5043346	max_contig_num;checkm2_max_contam
SAMN10060541	checkm2_max_contam
SAMN06265373	sylph_no_species_call
SAMN41594622	sylph_min_abundance;checkm2_min_compl
SAMEA4549267	sylph_min_abundance
SAMN31987739	sylph_min_abundance
SAMN39264340	sylph_min_abundance
SAMEA69646918	sylph_min_abundance
SAMN01922324	sylph_min_abundance
SAMEA4889502	sylph_min_abundance
SAMEA2272837	max_contig_num;checkm2_max_contam
SAMN10819052	sylph_min_abundance
SAMN41641811	sylph_min_abundance
SAMN15957577	sylph_min_abundance;checkm2_max_contam
SAMEA1530782	sylph_min_abundance
SAMN41338833	sylph_min_abundance
SAMN11846489	sylph_min_abundance
SAMN17165231	min_N50;checkm2_min_compl
SAMN10174785	sylph_min_abundance;checkm2_max_contam
SAMEA111270708	max_contig_num;min_N50;checkm2_max_contam
SAMN29515821	sylph_min_abundance
SAMEA1973744	checkm2_max_contam
SAMEA4966831	sylph_min_abundance
SAMEA4587672	sylph_min_abundance
SAMEA12595950	checkm2_max_contam
SAMEA115743677	sylph_min_abundance
SAMEA9334849	sylph_min_abundance;checkm2_max_contam
SAMN08886387	checkm2_min_compl
SAMN42044286	sylph_min_abundance;checkm2_max_contam
SAMN41759565	sylph_min_abundance
SAMN33325417	sylph_min_abundance;checkm2_max_contam
SAMN32927388	sylph_min_abundance
SAMD00320912	sylph_min_abundance;checkm2_max_contam
SAMEA7546458	sylph_min_abundance
SAMN11579791	checkm2_max_contam
SAMEA114539212	sylph_min_abundance
SAMN41498005	max_contig_num;checkm2_min_compl
SAMEA91081168	sylph_min_abundance;checkm2_max_contam
SAMN08362488	sylph_no_species_call
SAMEA110665692	sylph_min_abundance;checkm2_max_contam
SAMN05928439	checkm2_min_compl
SAMEA80401168	checkm2_max_contam
SAMN21616563	sylph_min_abundance
SAMEA1710618	sylph_min_abundance
SAMEA114538915	sylph_min_abundance
SAMN07451270	sylph_min_abundance
SAMN41879785	sylph_min_abundance
SAMN07658192	sylph_min_abundance;checkm2_max_contam
SAMEA7564082	sylph_min_abundance
SAMN12617612	sylph_min_abundance
SAMN17981824	sylph_min_abundance
SAMN12375018	sylph_min_abundance
SAMEA113399196	sylph_min_abundance;checkm2_max_contam
SAMEA1692017	sylph_min_abundance
SAMN35298081	max_contig_num;min_N50;checkm2_max_contam
SAMN31233518	sylph_no_species_call
SAMEA111271243	sylph_min_abundance
SAMN14417296	sylph_min_abundance;checkm2_max_contam
SAMEA111397291	checkm2_min_compl
SAMN02199285	max_contig_num;min_N50;checkm2_min_compl
SAMEA6655945	sylph_min_abundance;checkm2_max_contam
SAMN35153925	sylph_min_abundance;checkm2_max_contam
SAMEA7553007	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA14321155	sylph_min_abundance
SAMEA8959905	sylph_min_abundance;checkm2_max_contam
SAMEA5128184	sylph_min_abundance
SAMEA1569306	sylph_min_abundance
SAMEA1117717	sylph_min_abundance
SAMEA7530277	sylph_min_abundance;checkm2_max_contam
SAMEA2656682	sylph_min_abundance;checkm2_max_contam
SAMEA4781656	sylph_min_abundance
SAMEA8610677	sylph_min_abundance;checkm2_max_contam
SAMN03469720	sylph_min_abundance;checkm2_max_contam
SAMN13242660	sylph_min_abundance
SAMN20423975	sylph_min_abundance;checkm2_max_contam
SAMN18348510	sylph_min_abundance
SAMEA6097802	sylph_min_abundance
SAMEA7529951	sylph_min_abundance;checkm2_max_contam
SAMEA4967384	max_contig_num;min_N50;checkm2_max_contam
SAMN14081593	sylph_min_abundance;checkm2_max_contam
SAMD00442857	sylph_min_abundance;checkm2_max_contam
SAMEA104368347	sylph_min_abundance
SAMEA113572295	checkm2_max_contam
SAMN41328778	sylph_min_abundance
SAMEA104352118	sylph_min_abundance
SAMN26198709	sylph_min_abundance;checkm2_min_compl
SAMEA111269637	max_contig_num;checkm2_max_contam
SAMEA5545069	sylph_min_abundance;checkm2_max_contam
SAMN41760297	sylph_min_abundance
SAMEA12279509	sylph_min_abundance
SAMD00577156	sylph_no_species_call
SAMN09651606	max_contig_num;checkm2_min_compl;checkm2_max_contam
SAMN15344993	sylph_min_abundance
SAMN41327818	sylph_min_abundance
SAMEA5694429	sylph_min_abundance;checkm2_max_contam
SAMEA110665397	sylph_min_abundance;checkm2_max_contam
SAMEA7621013	checkm2_max_contam
SAMN07414961	sylph_min_abundance
SAMN07658429	sylph_min_abundance
SAMEA4967498	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN31987726	sylph_min_abundance
SAMEA9435913	checkm2_max_contam
SAMN40031462	sylph_min_abundance
SAMN05209644	sylph_min_abundance
SAMN30553104	sylph_no_species_call
SAMN09462525	sylph_min_abundance;checkm2_max_contam
SAMEA5694337	sylph_min_abundance;checkm2_max_contam
SAMN25297985	checkm2_min_compl
SAMN28561907	sylph_min_abundance
SAMN19375581	sylph_min_abundance;checkm2_max_contam
SAMN25999990	sylph_min_abundance
SAMEA104351982	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN33240253	sylph_min_abundance
SAMN18146699	sylph_min_abundance
SAMN41332458	sylph_min_abundance;checkm2_max_contam
SAMN13838394	sylph_min_abundance
SAMEA110665574	sylph_min_abundance;checkm2_max_contam
SAMN20169963	sylph_min_abundance;checkm2_max_contam
SAMN13066528	sylph_min_abundance;checkm2_max_contam
SAMEA104351886	sylph_min_abundance;checkm2_max_contam
SAMEA104016625	sylph_min_abundance
SAMN11017948	checkm2_max_contam
SAMN11848924	sylph_min_abundance
SAMEA4938713	sylph_min_abundance;checkm2_max_contam
SAMN06349735	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA7225361	sylph_min_abundance
SAMN11846413	sylph_min_abundance
SAMN03799749	sylph_min_abundance
SAMN05575119	checkm2_min_compl
SAMN04396888	sylph_min_abundance
SAMEA114241893	checkm2_max_contam
SAMEA104093423	checkm2_min_compl
SAMEA3104984	max_contig_num
SAMN40196427	checkm2_min_compl
SAMEA104284340	sylph_min_abundance;checkm2_max_contam
SAMEA104055276	sylph_min_abundance;checkm2_max_contam
SAMN35340047	sylph_min_abundance
SAMN05574967	sylph_min_abundance
SAMEA5162511	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMN12565796	sylph_min_abundance
SAMEA4967659	sylph_min_abundance
SAMN06477617	sylph_min_abundance;checkm2_max_contam
SAMN12493000	checkm2_max_contam
SAMEA104146867	sylph_min_abundance;checkm2_max_contam
SAMEA114226899	sylph_min_abundance;checkm2_max_contam
SAMN00013275	max_contig_num;min_N50;checkm2_min_compl;checkm2_max_contam
SAMN35544874	sylph_min_abundance;checkm2_max_contam
SAMN22329943	sylph_min_abundance
SAMEA2713428	sylph_min_abundance
SAMEA6155981	sylph_min_abundance
SAMN07157214	checkm2_max_contam
SAMN20523427	checkm2_max_contam
SAMN04145735	sylph_min_abundance;checkm2_max_contam
SAMD00253808	sylph_no_species_call;checkm2_min_compl
